Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
258,Maximilian Wöber,Borussia Mönchengladbach,0.1,15.8,2070,25,AUT
259,Niklas Süle,Borussia Dortmund,0.1,14.3,1509,23,GER
259,Xaver Schlager,RB Leipzig,0.1,14.3,2482,29,AUT
261,Patrick Osterhage,VfL Bochum,0.1,13.6,1863,24,GER
262,Jeffrey Gouweleeuw,FC Augsburg,0.1,13.0,2594,30,NED
263,Cedric Zesiger,VfL Wolfsburg,0.1,12.5,1634,23,SUI
263,Danilho Doekhi,1. FC Union Berlin,0.1,12.5,2160,24,NED
265,Klaus Gjasula,SV Darmstadt,0.1,11.1,1366,22,ALB
265,Marius Wolf,Borussia Dortmund,0.1,11.1,1161,22,GER
267,Atakan Karazor,VfB Stuttgart,0.1,10.5,2630,33,GER
267,Tom Krauss,1. FSV Mainz 05,0.1,10.5,1339,29,GER
269,Mads Valentin Pedersen,FC Augsburg,0.1,7.7,1783,27,DEN
270,Kevin Vogt,TSG Hoffenheim,0.0,33.3,2643,32,GER
271,Kevin Mbabu,FC Augsburg,0.0,25.0,2048,25,SUI
272,Anthony Jung,SV Werder Bremen,0.0,20.0,2583,31,GER
272,Odilon Kossounou,Bayer 04 Leverkusen,0.0,20.0,1812,22,CIV
274,Kilian Sildillia,SC Freiburg,0.0,14.3,1804,27,FRA
274,Marco Friedl,SV Werder Bremen,0.0,14.3,2198,25,AUT
276,Joseph Scally,Borussia Mönchengladbach,0.0,9.1,2236,31,USA
276,Omar Traoré,1. FC Heidenheim 1846,0.0,9.1,2474,31,GER
278,Edmond Tapsoba,Bayer 04 Leverkusen,0.0,8.3,2084,28,BFA
278,Manuel Gulde,SC Freiburg,0.0,8.3,2048,27,GER
280,Nicolas Höfler,SC Freiburg,0.0,6.3,2332,28,GER
281,Matthias Bader,SV Darmstadt,0.0,5.9,1807,24,GER
